Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,-661237.0,-181583.0,-11518.0,-325815.0,-906569.0,-756541.0,-579832.0,-321203.0,454439.0,679355.0,879553.0,1100323.0,311437.0,832143.0,415116.0,745059.0,509843.0,114723.0,111033.0,288967.0,806542.0,408784.0,469950.0,988460.0,1185181.0,948978.0,935156.0,633773.0,1168288.0,1293744.0,-190796.0,-37446.0,257391.0,490905.0,492245.0,405501.0,65899.0,335038.0,257702.0,276951.0,-116504.0,-583400.0,-471069.0,-476598.0,-139555.0,775133.0,1267692.0,542557.0,1175509.0,384638.0,880192.0,629025.0,-1332618.0,-356657.0,-437849.0,-816968.0,1133245.0,1177904.0
China,-343857.0,-676129.0,-179721.0,-586849.0,-189759.0,-280021.0,-553199.0,-870751.0,-645489.0,-766244.0,-781464.0,-566295.0,-480764.0,-802434.0,-911548.0,-825147.0,-648450.0,-835325.0,-732702.0,-1097708.0,-1041486.0,-915775.0,-1043710.0,-878011.0,-1079105.0,-1152702.0,-1323286.0,-1063530.0,-972225.0,-779288.0,-950058.0,-840187.0,-676899.0,-611940.0,-892147.0,-448193.0,-694108.0,-509187.0,-645124.0,-994235.0,-499252.0,-448751.0,-1015412.0,-932834.0,-945189.0,-575199.0,-799466.0,-696554.0,-745376.0,-1193070.0,-1344547.0,-826373.0,-1223500.0,-1158699.0,-1153787.0,-1335534.0,-951220.0,-918708.0
Germany,-379232.0,-340175.0,-846477.0,-587763.0,-1087312.0,-951650.0,-1991598.0,-1273239.0,-733769.0,-1356335.0,-1342411.0,-1501497.0,-898873.0,-1086848.0,-989137.0,-557411.0,-1342919.0,-1403545.0,-1750636.0,-1208269.0,-676669.0,-1837839.0,-1595773.0,-1587179.0,-1610759.0,-1450897.0,-1799486.0,-1499495.0,-2213061.0,-1929850.0,-2027730.0,-2502645.0,-1769043.0,-1918867.0,-2315337.0,-1991923.0,-1809790.0,-1904288.0,-2263371.0,-1110001.0,-2046762.0,-1669556.0,-2814740.0,-1618137.0,-1704360.0,-1593412.0,-2690480.0,-2517690.0,-2432005.0,-2299520.0,-1999792.0,-1723366.0,-1913555.0,-2379728.0,-2808120.0,-1552570.0,-1935739.0,-2215769.0
"Korea, Republic of",-1176496.0,-1316487.0,-1401522.0,-1452480.0,-2114179.0,-1803646.0,-1777525.0,-1749498.0,-1539111.0,-1772473.0,-1600878.0,-2014897.0,-1767179.0,-1725148.0,-1843433.0,-1715893.0,-1329629.0,-1590969.0,-1720312.0,-1921215.0,-2043957.0,-1710198.0,-2051415.0,-2220579.0,-1768198.0,-1711090.0,-2246566.0,-2240526.0,-2401211.0,-2618896.0,-2610491.0,-2374858.0,-2478130.0,-2881967.0,-3096849.0,-2778492.0,-3278602.0,-2651523.0,-3080977.0,-3254918.0,-2930030.0,-2986587.0,-3522043.0,-3795628.0,-3564538.0,-3594969.0,-4019521.0,-3907427.0,-3861212.0,-3686649.0,-3445048.0,-3669908.0,-3231309.0,-3108584.0,-3017564.0,-3621179.0,-2628839.0,-4179512.0
Malaysia,-2503.0,-2702.0,-3338.0,-5240.0,-3172.0,-3586.0,-3062.0,-3998.0,-3097.0,-668.0,-4042.0,-1892.0,-5856.0,-2713.0,-4197.0,-431.0,-1171.0,-1857.0,-5046.0,-8001.0,-1797.0,5645.0,3763.0,-4228.0,-1299.0,-1334.0,-773.0,2790.0,-2561.0,6129.0,3303.0,-5219.0,1649.0,-4320.0,-2046.0,3719.0,-958.0,-1392.0,-1574.0,-1279.0,-6451.0,-2935.0,-7483.0,-3124.0,-6567.0,-9460.0,-3280.0,-11004.0,-4993.0,-8494.0,-8904.0,-12533.0,-8496.0,-11110.0,-5440.0,-15253.0,-7659.0,-14117.0
Viet Nam,-25049.0,-25192.0,-36694.0,-45967.0,-41931.0,-62705.0,-56606.0,-61401.0,-49960.0,-59338.0,-49860.0,-47346.0,-57318.0,-64684.0,-74677.0,-60141.0,-92022.0,-55380.0,-69686.0,-90041.0,-97272.0,-100935.0,-83050.0,-84836.0,-108124.0,-82863.0,-85617.0,-83560.0,-91413.0,-62316.0,-110214.0,-65940.0,-63247.0,-68473.0,-67218.0,-110145.0,-58657.0,-61794.0,-62991.0,-66453.0,-73527.0,-115547.0,-61748.0,-67213.0,-73301.0,-77950.0,-85257.0,-76206.0,-93358.0,-93869.0,-126849.0,-103030.0,-80565.0,-87841.0,-80776.0,-124146.0,-119818.0,-91180.0
