Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,-4186.0,-23146.0,-20653.0,-9159.0,24179.0,-5645.0,69049.0,38027.0,-16731.0,31071.0,46409.0,40097.0,-1564.0,8534.0,-17137.0,-36091.0,-24179.0,-60020.0,-20982.0,-58053.0,-53192.0,-21047.0,25557.0,-31507.0,-4958.0,-19514.0,-39134.0,-71849.0,-123196.0,-86057.0,-78547.0,-72853.0,-67238.0,-46141.0,-46584.0,-56853.0,-24248.0,-83463.0,-7902.0,-49235.0,-99611.0,-52260.0,-20655.0,-34823.0,-40473.0,-34646.0,-17750.0,-36010.0,-86817.0,-85004.0,-15609.0,-85401.0,-187778.0,-138555.0,-108314.0,-67499.0,-61070.0,-72059.0
China,-2014286.0,-2288141.0,-2390572.0,-2328632.0,-2500952.0,-2445178.0,-2621095.0,-2611054.0,-2297989.0,-2455498.0,-2432834.0,-2601196.0,-2524695.0,-2447780.0,-2727265.0,-2682193.0,-2722233.0,-2746458.0,-3027888.0,-3081594.0,-2850109.0,-2835050.0,-2815634.0,-2862950.0,-2670063.0,-2474423.0,-2405963.0,-2017829.0,-1890762.0,-1792923.0,-1832414.0,-2016236.0,-1690287.0,-1350262.0,-1734317.0,-1786538.0,-1667430.0,-1654866.0,-1615122.0,-1536816.0,-1729448.0,-1622233.0,-1737466.0,-2011052.0,-1870328.0,-1557405.0,-1561853.0,-1818838.0,-1766588.0,-1915115.0,-1780800.0,-1676075.0,-1580744.0,-1563095.0,-1704605.0,-1965571.0,-1708595.0,-1485390.0
Germany,-39084.0,-54473.0,-61351.0,-54950.0,-47788.0,-62489.0,-56825.0,-45284.0,-53140.0,-63710.0,-67160.0,-64316.0,-67113.0,-75251.0,-71501.0,-72316.0,-61398.0,-76998.0,-70663.0,-61995.0,-57020.0,-73834.0,-66596.0,-78624.0,-73668.0,-82049.0,-84143.0,-72078.0,-84141.0,-63757.0,-61663.0,-65799.0,-54201.0,-65016.0,-62274.0,-69921.0,-69095.0,-78967.0,-72186.0,-59569.0,-75263.0,-64770.0,-62414.0,-62083.0,-59672.0,-74402.0,-59072.0,-59816.0,-63754.0,-84703.0,-72915.0,-64478.0,-58912.0,-49288.0,-54632.0,-53226.0,-49155.0,-59151.0
"Korea, Republic of",-11634.0,-15653.0,-16823.0,-17246.0,-24106.0,-25278.0,-25849.0,-29777.0,-27760.0,-35283.0,-30200.0,-28660.0,-25962.0,-21837.0,-22788.0,-25902.0,-25575.0,-24908.0,-26213.0,-27781.0,-26767.0,-33126.0,-35178.0,-29816.0,-34911.0,-30355.0,-35204.0,-36774.0,-38929.0,-38334.0,-31421.0,-29377.0,-20703.0,-27371.0,-35069.0,-33739.0,-34907.0,-40482.0,-36455.0,-38108.0,-39912.0,-40911.0,-39423.0,-35245.0,-30680.0,-37984.0,-39728.0,-39048.0,-42381.0,-44219.0,-45308.0,-43174.0,-45793.0,-37752.0,-43711.0,-41312.0,-34214.0,-41044.0
Malaysia,-93933.0,-192881.0,-233498.0,-243862.0,-246255.0,-216519.0,-238839.0,-237837.0,-184983.0,-212160.0,-212974.0,-229270.0,-214743.0,-171078.0,-126736.0,-109138.0,-118985.0,-137361.0,-189062.0,-232998.0,-186587.0,-261531.0,-254467.0,-244223.0,-216274.0,-194532.0,-204201.0,-196477.0,-206842.0,-163893.0,-156310.0,-146644.0,-119112.0,-126291.0,-113948.0,-114485.0,-120840.0,-122192.0,-140060.0,-131401.0,-149548.0,-140101.0,-138987.0,-138202.0,-150888.0,-132902.0,-133953.0,-140991.0,-134976.0,-137644.0,-124615.0,-142903.0,-177244.0,-170097.0,-160052.0,-178869.0,-146932.0,-171045.0
Viet Nam,-608232.0,-956531.0,-1059901.0,-1168887.0,-1206669.0,-1244810.0,-1248242.0,-1356147.0,-1083401.0,-1350932.0,-1258434.0,-1473328.0,-1422471.0,-1529910.0,-1587366.0,-1052268.0,-712049.0,-570951.0,-877016.0,-1186131.0,-1138833.0,-1600139.0,-1491815.0,-1721833.0,-1522694.0,-1326200.0,-1298810.0,-1196821.0,-1219753.0,-1053989.0,-1020162.0,-1114841.0,-881378.0,-711722.0,-939734.0,-1033352.0,-1043247.0,-975463.0,-1061749.0,-959652.0,-1049266.0,-1066253.0,-1102996.0,-1077099.0,-1222344.0,-1090049.0,-986267.0,-1265511.0,-1187205.0,-1292842.0,-1250505.0,-1415624.0,-1455473.0,-1341556.0,-1397722.0,-1427189.0,-1347809.0,-1281735.0
