Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,8141.0,11639.0,9240.0,17461.0,-5011.0,16544.0,-2928.0,8339.0,22489.0,2322.0,15223.0,23608.0,29744.0,30274.0,28027.0,40177.0,27213.0,26652.0,17771.0,14749.0,8219.0,-474.0,17709.0,-1137.0,9672.0,10230.0,19575.0,11957.0,9836.0,5922.0,-3247.0,18888.0,-6845.0,-613.0,9680.0,2447.0,-2171.0,1797.0,6382.0,9962.0,-4664.0,8304.0,8161.0,15151.0,9095.0,9293.0,1396.0,12706.0,18648.0,13568.0,15243.0,9329.0,16036.0,5113.0,13139.0,30728.0,-1369.0,9630.0
Germany,-606700.0,-626859.0,-593454.0,-711383.0,-557247.0,-692606.0,-940681.0,-535747.0,-457760.0,-862395.0,-658188.0,-674426.0,-750381.0,-714767.0,-717586.0,-692914.0,-568824.0,-766738.0,-763803.0,-558576.0,-525495.0,-708934.0,-605821.0,-733131.0,-744966.0,-678565.0,-707570.0,-712661.0,-493617.0,-566628.0,-658501.0,-449190.0,-602006.0,-769123.0,-545982.0,-673662.0,-663641.0,-686348.0,-723080.0,-645240.0,-569574.0,-558396.0,-652752.0,-528097.0,-388475.0,-737811.0,-656338.0,-530771.0,-555311.0,-553729.0,-447649.0,-557200.0,-515070.0,-497236.0,-654920.0,-194446.0,-501146.0,-598392.0
"Korea, Republic of",-616518.0,-756662.0,-790520.0,-790732.0,-709757.0,-819814.0,-773755.0,-684993.0,-609789.0,-706671.0,-647419.0,-651428.0,-640612.0,-717248.0,-602247.0,-549441.0,-574420.0,-480157.0,-511005.0,-196088.0,-214539.0,-239136.0,-244791.0,-221307.0,-122823.0,-106265.0,-194424.0,-197942.0,-96427.0,-98657.0,-79228.0,-2085.0,-96358.0,-91254.0,-88317.0,-138877.0,-160851.0,-100047.0,-122834.0,-161806.0,-167831.0,-153861.0,-118516.0,-74681.0,-74678.0,-124235.0,-103581.0,-163849.0,-115211.0,-104462.0,-155789.0,-147133.0,-105537.0,-238127.0,-114078.0,-8082.0,-163306.0,-70310.0
Malaysia,-93010.0,-54332.0,-47461.0,-85861.0,-15746.0,-18791.0,-74299.0,-6514.0,-32553.0,-59480.0,-30338.0,-121726.0,-358954.0,-302190.0,-55961.0,-15980.0,-68243.0,-11164.0,-28822.0,-103415.0,-92528.0,-185237.0,-169064.0,-94330.0,-166696.0,-165349.0,-204361.0,-159654.0,-188069.0,-120731.0,-239257.0,-99529.0,-112013.0,-71428.0,-49559.0,-56047.0,-32187.0,-46908.0,-104264.0,-84226.0,-125295.0,-62895.0,2125.0,-56282.0,-36659.0,-27383.0,-119828.0,-64969.0,-43658.0,-157071.0,-104066.0,-123568.0,-117591.0,-73954.0,-86894.0,-95458.0,-124216.0,-50969.0
United States of America,-37993.0,94022.0,-4122.0,4752.0,32217.0,-11704.0,-219426.0,123187.0,148119.0,-369235.0,-108810.0,32505.0,-32740.0,38710.0,91361.0,44049.0,76588.0,-81029.0,72967.0,163562.0,30952.0,-206609.0,-83598.0,-61653.0,-256528.0,50969.0,-13721.0,-158729.0,-39465.0,-247932.0,-3198.0,149547.0,-315716.0,-59320.0,-118870.0,-162399.0,-193740.0,-233261.0,-127919.0,-219516.0,-191778.0,-23675.0,-283841.0,37705.0,-63499.0,-158115.0,-127505.0,24686.0,49208.0,-135159.0,79497.0,18229.0,-123909.0,22527.0,-73083.0,297324.0,-251453.0,-55607.0
Viet Nam,166435.0,206625.0,217948.0,201334.0,211068.0,267462.0,261566.0,295972.0,239455.0,320904.0,325636.0,354108.0,344435.0,367228.0,251832.0,223121.0,206777.0,293500.0,246979.0,107743.0,60144.0,80015.0,99148.0,125446.0,105365.0,112763.0,133213.0,162768.0,130101.0,116059.0,132553.0,76804.0,80485.0,144944.0,145022.0,133684.0,128233.0,101364.0,115423.0,123286.0,102056.0,139709.0,121338.0,110851.0,74494.0,187566.0,159882.0,144786.0,122999.0,146975.0,162441.0,130134.0,118542.0,185353.0,206262.0,171526.0,119648.0,246297.0
