"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","42,762.62","42,199.94","42,924.56","41,853.62","2.32B","1.17%"
"05/01/2025","42,270.07","40,918.04","42,842.04","40,705.63","11.89B","3.94%"
"04/01/2025","40,669.36","41,879.75","42,382.27","36,611.78","15.92B","-3.17%"
"03/01/2025","42,001.76","43,900.49","44,033.78","40,661.77","13.80B","-4.20%"
"02/01/2025","43,840.91","44,268.15","44,966.63","43,100.87","10.76B","-1.58%"
"01/01/2025","44,544.66","42,660.09","45,054.36","41,844.89","12.08B","4.70%"
"12/01/2024","42,544.22","44,925.86","45,073.63","42,146.33","10.26B","-5.27%"
"11/01/2024","44,910.65","41,869.82","45,071.29","41,647.30","10.17B","7.54%"
"10/01/2024","41,763.46","42,262.97","43,325.09","41,704.63","7.21B","-1.34%"
"09/01/2024","42,330.15","41,489.67","42,628.32","39,993.07","8.32B","1.85%"
"08/01/2024","41,563.08","40,916.96","41,585.21","38,499.27","8.40B","1.76%"
"07/01/2024","40,842.79","39,186.20","41,376.00","39,037.94","7.63B","4.41%"
"06/01/2024","39,118.86","38,709.99","39,571.23","38,247.22","7.35B","1.12%"
"05/01/2024","38,686.32","37,845.56","40,077.40","37,780.54","7.62B","2.30%"
"04/01/2024","37,815.92","39,807.93","39,815.00","37,611.56","7.85B","-5.00%"
"03/01/2024","39,807.37","38,989.51","39,889.05","38,457.83","7.40B","2.08%"
"02/01/2024","38,996.39","38,175.34","39,282.28","38,039.86","6.33B","2.22%"
"01/01/2024","38,150.30","37,566.22","38,588.86","37,122.95","7.19B","1.22%"
"12/01/2023","37,689.54","35,914.45","37,778.85","35,914.45","6.37B","4.84%"
"11/01/2023","35,950.89","33,081.87","35,970.70","33,010.85","6.33B","8.77%"
"10/01/2023","33,052.87","33,455.50","34,147.63","32,327.20","6.72B","-1.36%"
"09/01/2023","33,507.50","34,876.24","34,979.18","33,306.30","6.25B","-3.50%"
"08/01/2023","34,721.91","35,585.99","35,679.13","34,029.22","7.16B","-2.36%"
"07/01/2023","35,559.53","34,369.78","35,645.35","33,705.68","6.44B","3.35%"
"06/01/2023","34,407.60","32,929.85","34,588.68","32,704.51","7.04B","4.56%"
"05/01/2023","32,908.27","34,116.81","34,257.83","32,586.56","6.70B","-3.49%"
"04/01/2023","34,098.16","33,245.78","34,104.56","33,235.85","5.38B","2.48%"
"03/01/2023","33,274.15","32,656.37","33,572.22","31,429.82","8.15B","1.89%"
"02/01/2023","32,656.70","34,039.60","34,334.70","32,636.43","6.14B","-4.19%"
"01/01/2023","34,086.04","33,148.90","34,342.32","32,812.33","6.82B","2.83%"
"12/01/2022","33,147.25","34,533.59","34,712.28","32,573.43","6.98B","-4.17%"
"11/01/2022","34,589.77","32,862.79","34,589.77","31,727.05","7.30B","5.67%"
"10/01/2022","32,732.95","28,855.25","32,889.81","28,660.94","7.82B","13.95%"
"09/01/2022","28,725.51","31,454.58","32,504.04","28,715.85","7.84B","-8.84%"
"08/01/2022","31,510.43","32,755.71","34,281.36","31,509.59","7.02B","-4.06%"
"07/01/2022","32,845.13","30,737.77","32,910.18","30,143.93","6.44B","6.73%"
"06/01/2022","30,775.43","33,156.31","33,272.34","29,653.29","7.71B","-6.71%"
