Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,347710.0,373682.0,414870.0,422757.0,444124.0,407732.0,438889.0,366892.0,403979.0,557815.0,422554.0,438417.0,420353.0,452207.0,421123.0,431453.0,469130.0,415868.0,413621.0,386319.0,404262.0,521055.0,456842.0,440352.0,493213.0,422602.0,480444.0,464116.0,461830.0,405969.0,534596.0,468338.0,465563.0,618977.0,487188.0,509700.0,566069.0,443164.0,492755.0,468598.0,503193.0,433334.0,537725.0,534831.0,534163.0,585146.0,554205.0,550672.0,570104.0,507774.0,504171.0,450904.0,400444.0,419707.0,447383.0,479137.0,420053.0,569993.0
China,-329359.0,-390522.0,-345204.0,-358313.0,-274017.0,-270473.0,-168394.0,-322569.0,-326039.0,-112981.0,-220656.0,-166915.0,-183220.0,-304789.0,-337657.0,-420985.0,-365792.0,-336708.0,-255335.0,-544001.0,-260801.0,-142983.0,-283802.0,-213311.0,-250252.0,-286061.0,-347928.0,-314260.0,-219600.0,-238250.0,-51292.0,-363656.0,-29254.0,107927.0,-50138.0,-83114.0,1730.0,-42662.0,-113315.0,-101626.0,-37363.0,-61563.0,287658.0,-339344.0,-97078.0,124182.0,-105000.0,-66398.0,97814.0,-202744.0,-66573.0,-152807.0,-65126.0,-121690.0,-120178.0,-481055.0,-94829.0,-2830.0
Germany,-248787.0,-320498.0,-308196.0,-329503.0,-328282.0,-383592.0,-446138.0,-186468.0,-339250.0,-337776.0,-349816.0,-335617.0,-485902.0,-442127.0,-462694.0,-446848.0,-425888.0,-462900.0,-522916.0,-333103.0,-306401.0,-364198.0,-384236.0,-551514.0,-481362.0,-455120.0,-470538.0,-581908.0,-446721.0,-468993.0,-436962.0,-335114.0,-377421.0,-388244.0,-384855.0,-377102.0,-356709.0,-508987.0,-449124.0,-467066.0,-516317.0,-564154.0,-484489.0,-447974.0,-491178.0,-626841.0,-579363.0,-507607.0,-524186.0,-602732.0,-572401.0,-692316.0,-548173.0,-595795.0,-713568.0,-445563.0,-558879.0,-620765.0
"Korea, Republic of",202149.0,199393.0,162256.0,179170.0,157961.0,112492.0,192965.0,200852.0,155348.0,208511.0,151309.0,153974.0,159539.0,148498.0,159659.0,157192.0,124104.0,127444.0,184365.0,125360.0,158966.0,206978.0,159048.0,181764.0,126355.0,173849.0,144134.0,198528.0,203085.0,168164.0,295958.0,134270.0,153097.0,250617.0,210022.0,157542.0,272368.0,106383.0,162789.0,109680.0,155368.0,158200.0,246147.0,71573.0,151485.0,179262.0,103091.0,105789.0,168153.0,125894.0,146303.0,150255.0,117170.0,200067.0,204163.0,125584.0,219029.0,227391.0
Malaysia,-102799.0,-154353.0,-167440.0,-173138.0,-182830.0,-191134.0,-185873.0,-141795.0,-144650.0,-181351.0,-167718.0,-142897.0,-207963.0,-168667.0,-165025.0,-172413.0,-188474.0,-180897.0,-201045.0,-196950.0,-154197.0,-188046.0,-263318.0,-184385.0,-204331.0,-247934.0,-216986.0,-253125.0,-256981.0,-231460.0,-251480.0,-214733.0,-180171.0,-235054.0,-209991.0,-187823.0,-203939.0,-203176.0,-206224.0,-198528.0,-219477.0,-204383.0,-215252.0,-215261.0,-180614.0,-222440.0,-223046.0,-237209.0,-202153.0,-311525.0,-244678.0,-253405.0,-333875.0,-266910.0,-237627.0,-219679.0,-200963.0,-286226.0
Viet Nam,-31740.0,-48995.0,-56515.0,-63846.0,-89799.0,-61113.0,-42207.0,-66476.0,-63009.0,-84183.0,-83704.0,-88788.0,-85952.0,-82517.0,-74937.0,-84734.0,-100585.0,-89266.0,-69605.0,-75094.0,-53415.0,-73607.0,-78981.0,-83493.0,-69547.0,-71330.0,-85615.0,-86713.0,-85916.0,-86333.0,-74255.0,-95161.0,-73822.0,-74754.0,-84364.0,-104930.0,-95840.0,-96191.0,-95431.0,-90660.0,-106824.0,-88390.0,-80791.0,-99570.0,-86988.0,-93185.0,-108583.0,-100370.0,-95144.0,-125299.0,-117861.0,-137792.0,-113786.0,-101814.0,-105137.0,-128502.0,-100801.0,-118438.0
