Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,115520.0,84012.0,117736.0,123034.0,84175.0,155526.0,115394.0,144650.0,187156.0,157508.0,150485.0,167281.0,199463.0,213721.0,169104.0,214744.0,168127.0,193060.0,164560.0,232959.0,173734.0,203244.0,206600.0,202604.0,235618.0,268610.0,253159.0,218406.0,186102.0,198051.0,148595.0,230293.0,116166.0,204327.0,173746.0,410140.0,386939.0,434797.0,479640.0,424532.0,244646.0,283952.0,157069.0,220272.0,372996.0,268718.0,179345.0,207750.0,326172.0,369294.0,591458.0,199180.0,142986.0,147096.0,183341.0,197071.0,135965.0,186269.0
Germany,-1353832.0,-1608697.0,-2048625.0,-2433697.0,-2280750.0,-2070118.0,-2372849.0,-1842319.0,-1736457.0,-1499825.0,-2340503.0,-1980606.0,-2270440.0,-1635224.0,-1298920.0,-1968869.0,-984633.0,-1987689.0,-1465123.0,-1801549.0,-1575567.0,-1633197.0,-2551955.0,-1892221.0,-1592624.0,-1590655.0,-2026211.0,-1485182.0,-1475716.0,-1550055.0,-1429454.0,-1433673.0,-1497835.0,-1202946.0,-1474646.0,-1307030.0,-1507271.0,-1422451.0,-1948383.0,-1571107.0,-1353992.0,-1578871.0,-1275943.0,-893752.0,-864449.0,-600975.0,-897659.0,-1155277.0,-1198700.0,-1351543.0,-1040679.0,-1260682.0,-522797.0,-1103129.0,-666856.0,-197021.0,-620576.0,-304772.0
"Korea, Republic of",74225.0,92350.0,72520.0,92076.0,57862.0,56711.0,62239.0,98754.0,96466.0,98145.0,140190.0,140163.0,141119.0,104209.0,119215.0,88303.0,111150.0,87443.0,154003.0,127585.0,101066.0,182926.0,124081.0,162908.0,218302.0,225577.0,173980.0,146354.0,179467.0,168032.0,175939.0,186598.0,178162.0,160622.0,268797.0,203246.0,231507.0,177065.0,329537.0,305912.0,279344.0,291951.0,179012.0,200640.0,361080.0,300450.0,372756.0,399065.0,318110.0,431220.0,289691.0,239614.0,311184.0,291895.0,271188.0,223495.0,150012.0,272813.0
Malaysia,85396.0,106783.0,125452.0,125891.0,159043.0,193072.0,235854.0,178241.0,111888.0,152949.0,176401.0,171553.0,157980.0,122078.0,129283.0,128453.0,168482.0,204473.0,246142.0,226886.0,148164.0,184323.0,195705.0,209336.0,244581.0,272955.0,252628.0,232242.0,228943.0,261562.0,250087.0,244208.0,198979.0,303229.0,269815.0,213289.0,209562.0,192512.0,188241.0,199516.0,236467.0,355533.0,258721.0,237120.0,180500.0,293083.0,309533.0,281242.0,316591.0,217848.0,266760.0,275495.0,248363.0,375289.0,399889.0,289549.0,162857.0,303469.0
United States of America,170737.0,369524.0,683439.0,228699.0,456906.0,344642.0,-444616.0,48548.0,344756.0,332711.0,426658.0,452346.0,640870.0,464764.0,627390.0,230428.0,657194.0,42671.0,1014405.0,89730.0,395520.0,699101.0,376574.0,603065.0,931025.0,929760.0,1175425.0,845713.0,697822.0,413027.0,734436.0,641444.0,365314.0,652390.0,785991.0,778504.0,615824.0,765868.0,856312.0,612494.0,676580.0,513572.0,446865.0,670163.0,494713.0,981023.0,823448.0,958319.0,1116051.0,849303.0,1238348.0,913376.0,1206390.0,1030659.0,1103567.0,1432047.0,774887.0,1303707.0
Viet Nam,111488.0,112695.0,109849.0,117076.0,136933.0,169612.0,177988.0,171220.0,113379.0,209415.0,281283.0,292821.0,236243.0,230106.0,147502.0,139432.0,217710.0,229845.0,299703.0,185338.0,131593.0,113782.0,335214.0,365565.0,351876.0,263611.0,245309.0,228595.0,223169.0,159947.0,166515.0,105065.0,126226.0,228274.0,188153.0,175500.0,184357.0,137223.0,157549.0,154655.0,146015.0,193353.0,202229.0,184393.0,119208.0,266158.0,287702.0,280925.0,259502.0,232331.0,232575.0,259622.0,273789.0,279435.0,284387.0,259579.0,225806.0,395212.0
