Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,183139.0,190357.0,213841.0,228293.0,202148.0,257080.0,255211.0,190233.0,195199.0,210168.0,194796.0,220680.0,272099.0,233366.0,211592.0,294843.0,221378.0,264512.0,230565.0,242896.0,173593.0,251334.0,267923.0,253689.0,250247.0,254884.0,210852.0,194536.0,173399.0,154857.0,155009.0,171664.0,67115.0,174735.0,169636.0,159405.0,151187.0,152652.0,181534.0,156306.0,126551.0,185405.0,218862.0,197497.0,129437.0,163251.0,186717.0,220111.0,228930.0,197445.0,162186.0,162057.0,209171.0,195171.0,223620.0,204711.0,134458.0,220166.0
Germany,-69890.0,-70009.0,-67425.0,-126652.0,-61047.0,-32841.0,-41921.0,-25199.0,-35805.0,-123918.0,-59070.0,-56809.0,-45632.0,-69539.0,-72536.0,-72089.0,-26456.0,-49748.0,9540.0,15080.0,-33553.0,-53838.0,-46917.0,-56725.0,-38623.0,-38545.0,-56644.0,-83387.0,-44658.0,-66770.0,-71323.0,-18044.0,-106914.0,-38404.0,-15927.0,-33994.0,-32623.0,-16949.0,-53228.0,-70088.0,-57900.0,-63116.0,-22549.0,33290.0,-10342.0,-48408.0,-13875.0,-31867.0,9943.0,-30125.0,-23654.0,-27899.0,-11519.0,7851.0,45960.0,90885.0,-60249.0,12945.0
"Korea, Republic of",-711911.0,-753153.0,-662417.0,-761666.0,-678520.0,-694418.0,-635819.0,-686783.0,-535041.0,-848278.0,-659865.0,-572124.0,-694250.0,-665610.0,-749164.0,-884403.0,-827167.0,-834761.0,-705906.0,-790352.0,-737744.0,-773202.0,-664752.0,-672541.0,-574075.0,-645668.0,-610991.0,-668340.0,-576522.0,-519910.0,-327896.0,-367519.0,-554045.0,-420368.0,-373894.0,-470426.0,-440281.0,-413070.0,-544383.0,-518567.0,-471581.0,-401258.0,-458476.0,-409686.0,-382924.0,-326037.0,-377131.0,-403697.0,-369471.0,-395159.0,-413533.0,-352537.0,-420466.0,-395620.0,-444216.0,-286732.0,-459859.0,-300637.0
Malaysia,11539.0,36109.0,91134.0,60205.0,60843.0,96968.0,80252.0,37178.0,26690.0,40761.0,109375.0,132719.0,95032.0,109728.0,91003.0,147514.0,193246.0,236822.0,324160.0,214303.0,44515.0,197195.0,149545.0,187509.0,267351.0,209041.0,198995.0,264339.0,229723.0,220770.0,291412.0,163222.0,108808.0,321702.0,256836.0,162568.0,302781.0,273509.0,196319.0,217562.0,137839.0,213454.0,384586.0,212256.0,135247.0,444494.0,225977.0,211540.0,281710.0,151412.0,109571.0,117398.0,121233.0,291154.0,326962.0,123503.0,21736.0,274950.0
United States of America,1444243.0,1498165.0,1444940.0,1354728.0,1589389.0,1968921.0,1799310.0,1808088.0,1548554.0,1507856.0,1586072.0,1679255.0,1684766.0,1597883.0,1784705.0,1852700.0,1811262.0,1861070.0,1956243.0,1985734.0,1334503.0,1801808.0,1802263.0,1913322.0,1892555.0,1783577.0,1432064.0,1472609.0,1421133.0,1262907.0,1464785.0,1449855.0,506604.0,1414063.0,1416379.0,1267622.0,1246243.0,1237211.0,1398236.0,1310758.0,1215410.0,1274003.0,1335513.0,1667373.0,855760.0,1040085.0,1320842.0,1357428.0,1488810.0,1268840.0,1214718.0,1168203.0,1273463.0,1477333.0,1542869.0,1617596.0,571987.0,1310533.0
Viet Nam,319486.0,365223.0,374056.0,410773.0,419996.0,500049.0,539666.0,562869.0,306360.0,643590.0,655508.0,636576.0,540271.0,528450.0,489491.0,421355.0,446348.0,601471.0,628362.0,587838.0,360247.0,521530.0,597905.0,713394.0,658443.0,555669.0,512484.0,508082.0,542962.0,565746.0,487349.0,288309.0,419361.0,573812.0,492093.0,481402.0,497671.0,495444.0,530005.0,539996.0,543864.0,602896.0,662165.0,631294.0,340591.0,790759.0,691104.0,704952.0,612060.0,579030.0,592982.0,557981.0,558244.0,699030.0,774428.0,594132.0,504946.0,821810.0
