Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,288995.0,353251.0,340374.0,381859.0,352121.0,494124.0,479198.0,397763.0,354043.0,372878.0,326946.0,313550.0,338226.0,330873.0,370308.0,465231.0,357103.0,466176.0,362010.0,385502.0,262982.0,310684.0,374494.0,358058.0,374761.0,342289.0,291692.0,275489.0,269750.0,283468.0,286724.0,312570.0,137781.0,251576.0,286283.0,251229.0,248699.0,242326.0,267575.0,251620.0,230671.0,288745.0,324908.0,320719.0,229515.0,236941.0,287806.0,284306.0,289053.0,252639.0,234116.0,218480.0,238271.0,270225.0,310842.0,354230.0,193298.0,265907.0
Germany,363947.0,434385.0,399551.0,380541.0,394622.0,478497.0,527354.0,531460.0,387515.0,356264.0,459077.0,449491.0,434803.0,491615.0,533611.0,480794.0,536901.0,558495.0,557012.0,572456.0,359112.0,391083.0,395871.0,410509.0,430222.0,448176.0,428931.0,320724.0,309569.0,333238.0,334291.0,397969.0,166194.0,319716.0,357273.0,358744.0,327142.0,334408.0,321695.0,327931.0,312469.0,330189.0,394731.0,448024.0,315417.0,310173.0,396466.0,377981.0,405590.0,417889.0,438484.0,370475.0,420929.0,376601.0,462228.0,580395.0,198168.0,363997.0
"Korea, Republic of",399241.0,407879.0,360192.0,364994.0,370983.0,403762.0,519170.0,479421.0,309017.0,336763.0,457454.0,453032.0,410253.0,423249.0,429473.0,397839.0,426214.0,441102.0,479429.0,528680.0,168647.0,287337.0,368287.0,407731.0,400992.0,409873.0,386504.0,381936.0,410773.0,381232.0,415246.0,329871.0,194225.0,399694.0,350916.0,321116.0,323436.0,325196.0,324441.0,335634.0,347815.0,374153.0,433216.0,466827.0,246363.0,340111.0,381698.0,351285.0,301123.0,259700.0,255138.0,259369.0,281349.0,297754.0,340549.0,302237.0,139113.0,321262.0
Malaysia,251568.0,306779.0,279674.0,268741.0,322473.0,358402.0,343602.0,257572.0,132865.0,217028.0,298540.0,276687.0,264840.0,260670.0,286334.0,305861.0,358971.0,397428.0,442460.0,351125.0,129583.0,273682.0,278408.0,355147.0,363175.0,368257.0,333328.0,363777.0,373054.0,379821.0,485172.0,347091.0,184080.0,487942.0,401213.0,292969.0,382095.0,330208.0,278836.0,315440.0,281478.0,365965.0,615839.0,489512.0,212326.0,542588.0,467354.0,511187.0,369284.0,260350.0,207118.0,237230.0,286437.0,439549.0,603129.0,319344.0,139181.0,471125.0
United States of America,2502844.0,2716949.0,2770584.0,2742955.0,2915579.0,3653188.0,3606028.0,3428970.0,2580691.0,2823616.0,2937200.0,3282393.0,3098592.0,3188252.0,3363624.0,3643294.0,3535136.0,3662310.0,3608897.0,3457015.0,2425576.0,3050422.0,3301451.0,3180341.0,3045304.0,2785339.0,2471938.0,2630102.0,2719778.0,2556444.0,2744473.0,2879166.0,1294084.0,2671926.0,2819199.0,2618020.0,2504632.0,2395304.0,2582497.0,2553108.0,2533264.0,2827649.0,2799713.0,3106767.0,1949460.0,2245752.0,2761921.0,2791262.0,2833380.0,2521355.0,2522681.0,2504121.0,2546353.0,2741342.0,2979163.0,3034208.0,1569387.0,2579644.0
Viet Nam,195238.0,230250.0,217224.0,225605.0,236762.0,279696.0,345712.0,276199.0,88942.0,201075.0,237445.0,214994.0,213369.0,192911.0,143028.0,131518.0,195487.0,267235.0,242817.0,226191.0,72439.0,161079.0,222665.0,259946.0,234046.0,201069.0,226707.0,238917.0,294005.0,290668.0,304901.0,125477.0,129608.0,255531.0,214753.0,186759.0,193154.0,193020.0,202632.0,177821.0,195135.0,244392.0,297682.0,254753.0,82382.0,270708.0,262989.0,241325.0,195518.0,173851.0,173307.0,172477.0,200498.0,276882.0,336487.0,207843.0,113103.0,353841.0
