Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,2067858.0,1970344.0,2175302.0,2224523.0,2049458.0,2632099.0,2443507.0,1619869.0,1656204.0,647509.0,855077.0,1349462.0,1485631.0,1834852.0,2209710.0,3025611.0,2513589.0,2225490.0,1637415.0,2237071.0,1753512.0,2303319.0,1914987.0,2276336.0,2468422.0,1383485.0,-143909.0,505234.0,-393364.0,-1628309.0,-1355149.0,320253.0,-957524.0,253182.0,283643.0,-57158.0,880043.0,439742.0,529481.0,227667.0,-131697.0,-1466699.0,814960.0,-652747.0,179561.0,-977687.0,-687867.0,266326.0,2064025.0,1799232.0,2050294.0,-2013892.0,-168571.0,-64864.0,-2056267.0,1661633.0,-1437267.0,-600181.0
Germany,-820579.0,-637707.0,-1515811.0,-3588113.0,-1829705.0,-2036080.0,-2381561.0,-1173153.0,-464709.0,-2257749.0,-728036.0,-1553936.0,-1173731.0,-685914.0,235684.0,-654295.0,1723788.0,-57098.0,2051001.0,1162393.0,212075.0,210853.0,-581107.0,-259545.0,1219886.0,1697760.0,733321.0,-169856.0,570904.0,281419.0,-250597.0,573343.0,-1876625.0,187765.0,96250.0,-694439.0,-325526.0,-457371.0,-1434624.0,-509508.0,-573828.0,-542103.0,-70329.0,1257975.0,852017.0,358484.0,-55276.0,325464.0,1653943.0,706530.0,2025154.0,722685.0,1543396.0,938584.0,1845227.0,4037083.0,-875730.0,1816323.0
"Korea, Republic of",-5136811.0,-5470115.0,-5389364.0,-7711896.0,-4870650.0,-5610460.0,-4232870.0,-4454100.0,-5000519.0,-6156824.0,-5181332.0,-4740621.0,-5347622.0,-4721041.0,-5586499.0,-7367942.0,-5071182.0,-6265982.0,-4704390.0,-4824141.0,-5883365.0,-5904007.0,-3188059.0,-1478403.0,-856399.0,-2489123.0,-3191761.0,-4520649.0,-1476767.0,-2360665.0,-872351.0,295199.0,-912866.0,513813.0,796003.0,-452238.0,-1096628.0,-1254640.0,-1444749.0,-2828147.0,-2520608.0,-2440967.0,-1393178.0,-2308178.0,-2710431.0,-2104421.0,-1766461.0,-2446862.0,-1721996.0,-3807741.0,-2683712.0,-4305618.0,-3925682.0,-3887044.0,-3722835.0,-1914131.0,-3677309.0,-1869742.0
Malaysia,-2444063.0,-1135069.0,-1356752.0,-2412475.0,-575133.0,-821167.0,-1148776.0,-1816703.0,-1761601.0,-2764643.0,-1928475.0,-3328013.0,-2710613.0,-1127912.0,-1223975.0,-1589673.0,106933.0,-336929.0,-1013209.0,-1387657.0,-2427207.0,-2137347.0,-2139806.0,-788581.0,-685773.0,-944204.0,-1076289.0,-1484690.0,-305888.0,-1522697.0,-1267588.0,310499.0,-1548731.0,-96062.0,207104.0,-1669337.0,-1758581.0,-1214255.0,-1867826.0,-2766478.0,-3178834.0,-1551045.0,-427152.0,-9053.0,-2555455.0,825942.0,-407144.0,-1111767.0,5307.0,-1259815.0,-2444383.0,-1863730.0,-1196605.0,54457.0,260199.0,1061123.0,-2220300.0,-1136243.0
United States of America,29263653.0,32327374.0,34050172.0,30621268.0,31400622.0,37365197.0,29826713.0,28150816.0,22944096.0,21146125.0,27953322.0,31685073.0,32499172.0,35385943.0,37659121.0,41912640.0,40712128.0,36924284.0,39180930.0,33014521.0,26545659.0,32027996.0,32132134.0,36026527.0,41258315.0,41580132.0,37037430.0,36076365.0,34288865.0,24394527.0,29416803.0,29300606.0,11658265.0,25867332.0,28750424.0,27974972.0,28472279.0,30192649.0,33020663.0,32848361.0,30836585.0,30056433.0,27195360.0,28246828.0,18936546.0,22813809.0,27223158.0,30805251.0,31846213.0,30879948.0,33844738.0,33281987.0,33485313.0,34821829.0,33493105.0,34540245.0,14958053.0,27811911.0
Viet Nam,2876777.0,4248337.0,3735636.0,2149478.0,3003208.0,3486935.0,3735248.0,4698603.0,1401120.0,4100757.0,5981991.0,5021372.0,4047566.0,5504954.0,3804259.0,1417697.0,3126446.0,3615726.0,2868412.0,5743172.0,2113853.0,3006529.0,6210093.0,8510505.0,5878913.0,5867475.0,4580898.0,3365252.0,3806658.0,4812206.0,5103720.0,1995651.0,4202627.0,6422177.0,5575197.0,4083368.0,2140441.0,4717324.0,4362474.0,2907747.0,1392679.0,3292335.0,4376788.0,5781371.0,2447719.0,6410394.0,6321882.0,6510856.0,4358090.0,5394625.0,4913783.0,3438043.0,4637243.0,6558010.0,6183734.0,7315740.0,4691137.0,9386218.0
