Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,1173149.0,1291635.0,1255801.0,1333873.0,1565406.0,1586159.0,1504581.0,1210818.0,1164569.0,1567529.0,1286916.0,1230395.0,1289207.0,1274850.0,1250686.0,1300748.0,1692196.0,1518309.0,1659108.0,1333193.0,1428589.0,1756972.0,1625377.0,1487660.0,1606296.0,1421259.0,1596794.0,1657660.0,1736751.0,1696916.0,1635445.0,1543526.0,1472525.0,1834662.0,1506714.0,1651026.0,1765988.0,1488204.0,1778596.0,1638963.0,1542828.0,1826520.0,1512898.0,1492866.0,1504323.0,1654880.0,1644950.0,1480593.0,1448418.0,1347266.0,1505928.0,1219459.0,1191439.0,1286978.0,1284046.0,1349706.0,1233866.0,1700188.0
China,-8128212.0,-8450674.0,-8107400.0,-8754843.0,-10705314.0,-13483939.0,-10311827.0,-9026182.0,-7275661.0,-7919153.0,-8060102.0,-8200780.0,-8172178.0,-8372990.0,-8411529.0,-11903019.0,-11590479.0,-12985464.0,-13849175.0,-12167800.0,-9340868.0,-10689939.0,-9482910.0,-10494974.0,-10721185.0,-9614281.0,-10360493.0,-14063187.0,-12647280.0,-9599705.0,-10619935.0,-11171743.0,-7398871.0,-7501880.0,-8643654.0,-9053378.0,-8086741.0,-8554698.0,-8243696.0,-12203181.0,-12730734.0,-11378557.0,-10067712.0,-9054472.0,-7634284.0,-6902951.0,-7628095.0,-8414281.0,-7651897.0,-9442963.0,-9006720.0,-12660127.0,-12441738.0,-10918674.0,-10021550.0,-9976196.0,-6944107.0,-7301558.0
Germany,-203771.0,-349035.0,-329944.0,-363616.0,-322061.0,-300375.0,-330754.0,-214495.0,-329080.0,-397073.0,-347759.0,-365876.0,-371285.0,-394001.0,-373637.0,-384636.0,-283214.0,-337240.0,-312225.0,-236673.0,-306932.0,-324129.0,-306289.0,-391439.0,-369664.0,-438080.0,-501182.0,-435454.0,-521057.0,-420336.0,-393427.0,-410213.0,-433415.0,-483223.0,-484274.0,-507486.0,-443205.0,-510297.0,-561251.0,-483416.0,-506505.0,-501871.0,-460620.0,-373733.0,-420216.0,-492416.0,-576043.0,-531416.0,-476563.0,-536288.0,-545281.0,-544115.0,-467860.0,-404896.0,-443107.0,-440711.0,-446540.0,-584548.0
"Korea, Republic of",-870583.0,-780179.0,-890632.0,-719277.0,-849247.0,-698483.0,-759559.0,-643148.0,-792010.0,-1063714.0,-1004441.0,-1075507.0,-1230331.0,-1169781.0,-1227502.0,-1749089.0,-1259123.0,-1398606.0,-1311964.0,-1339386.0,-1159746.0,-1349423.0,-1626371.0,-1656188.0,-1496091.0,-1591455.0,-1551621.0,-1616360.0,-1508464.0,-1698540.0,-1465910.0,-1498669.0,-1107066.0,-1179779.0,-1184513.0,-1246114.0,-1271219.0,-1223318.0,-1126073.0,-1136342.0,-1258005.0,-1015537.0,-952763.0,-1150300.0,-988281.0,-1152926.0,-1079251.0,-1183712.0,-1071658.0,-1388748.0,-1152629.0,-1371087.0,-1146809.0,-1449719.0,-1646810.0,-1190294.0,-1007298.0,-1162301.0
Malaysia,-1899220.0,-1610436.0,-1837099.0,-2053115.0,-2033248.0,-1902324.0,-2073401.0,-1657702.0,-1545859.0,-2944091.0,-2031627.0,-2384203.0,-2621278.0,-1985216.0,-2347239.0,-2082948.0,-1919807.0,-2041061.0,-2463302.0,-1756952.0,-1684105.0,-2723334.0,-1942139.0,-2133144.0,-2159352.0,-1826015.0,-1779976.0,-2429957.0,-2119787.0,-1986374.0,-1815749.0,-1712639.0,-1680389.0,-1987685.0,-1435918.0,-1743514.0,-1760280.0,-1730051.0,-1539613.0,-1483432.0,-1620847.0,-1396586.0,-1817892.0,-1381668.0,-1283213.0,-1781184.0,-1798661.0,-1615324.0,-1605680.0,-1425003.0,-777352.0,-2117293.0,-1521328.0,-1649883.0,-1729100.0,-1275398.0,-1635205.0,-2553974.0
Viet Nam,-2013601.0,-2660269.0,-3274777.0,-2598431.0,-2463249.0,-2651368.0,-2097384.0,-2227133.0,-2049160.0,-2895441.0,-2561026.0,-2354809.0,-2270649.0,-2004483.0,-2545201.0,-2827037.0,-4028602.0,-4436128.0,-4094217.0,-3930454.0,-2324704.0,-3627381.0,-3649965.0,-3944241.0,-4032968.0,-3412757.0,-4683829.0,-4397619.0,-4220264.0,-3665450.0,-2950909.0,-3455160.0,-3262537.0,-3100636.0,-3300520.0,-3108121.0,-2947786.0,-3390020.0,-3283700.0,-3722478.0,-3846742.0,-3560509.0,-3088011.0,-2815310.0,-2568473.0,-2907972.0,-3239961.0,-3303461.0,-3612188.0,-2277845.0,-3156279.0,-4252708.0,-3801740.0,-3548023.0,-3008907.0,-3685585.0,-3634342.0,-4201825.0
