Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,540522.0,754214.0,777912.0,733614.0,786456.0,900913.0,723960.0,585897.0,481472.0,570288.0,493205.0,592817.0,615102.0,692601.0,735200.0,934577.0,865309.0,935341.0,910311.0,657952.0,489406.0,612343.0,611496.0,651691.0,788759.0,856357.0,853108.0,837805.0,794129.0,696740.0,677047.0,611571.0,367361.0,519591.0,540860.0,517905.0,560792.0,578421.0,695696.0,741822.0,753011.0,847681.0,683666.0,627880.0,524128.0,568837.0,581733.0,611719.0,600282.0,572854.0,635835.0,661648.0,773733.0,765736.0,649072.0,515871.0,415984.0,563565.0
Germany,506806.0,688342.0,859619.0,671527.0,844445.0,1053189.0,1028376.0,850402.0,849870.0,582645.0,870760.0,703517.0,941805.0,919589.0,1075233.0,1213855.0,1487013.0,1431837.0,1696661.0,1206335.0,1098617.0,1335476.0,1207638.0,1299719.0,1557503.0,1972029.0,2084311.0,1904929.0,2103403.0,1980948.0,1891283.0,2160038.0,1374673.0,2203097.0,1935425.0,1702794.0,1640100.0,1461461.0,1585097.0,1790126.0,1353571.0,1484997.0,1448839.0,1634008.0,1436986.0,1793377.0,1457226.0,1677450.0,1804720.0,1649575.0,2262951.0,1980113.0,1893803.0,1665222.0,1588006.0,2081571.0,1228234.0,2037896.0
"Korea, Republic of",-3979599.0,-4159579.0,-4070971.0,-5621931.0,-4284740.0,-4696751.0,-4278853.0,-4163124.0,-4136403.0,-4882297.0,-4611573.0,-4661426.0,-5324717.0,-5085163.0,-5863752.0,-6331274.0,-5169810.0,-6027383.0,-5673787.0,-6244722.0,-4909335.0,-6201499.0,-4889562.0,-4184799.0,-3993198.0,-5162985.0,-4793842.0,-6260568.0,-4539607.0,-4540336.0,-4479837.0,-2618199.0,-2933725.0,-2928207.0,-2764441.0,-2529586.0,-2975334.0,-3051574.0,-3834228.0,-4441865.0,-4200848.0,-4915975.0,-4444115.0,-4762986.0,-3622603.0,-4925066.0,-4675806.0,-5155501.0,-4999038.0,-5904840.0,-5079441.0,-5755107.0,-6024625.0,-5890944.0,-6054910.0,-4582838.0,-4156891.0,-5068833.0
Malaysia,-2425972.0,-1420249.0,-1930871.0,-2765057.0,-1611968.0,-1672886.0,-1591834.0,-1758266.0,-1405413.0,-1784840.0,-2204913.0,-2024786.0,-1841149.0,-1545898.0,-1361771.0,-1840787.0,-1018197.0,-1247579.0,-2756704.0,-1260059.0,-1430841.0,-1972791.0,-974193.0,-956608.0,-1303217.0,-905768.0,-934609.0,-1171312.0,-622274.0,-1062053.0,-1179412.0,-592226.0,-982964.0,-720370.0,-426635.0,-601323.0,-1380555.0,-1113216.0,-645110.0,-701283.0,-1072810.0,-838130.0,-900374.0,-309997.0,-425971.0,-197352.0,-334324.0,-255254.0,-547190.0,-398651.0,-570524.0,-1498033.0,-281855.0,-115579.0,-694355.0,-106373.0,-373048.0,-638535.0
United States of America,7245666.0,8548210.0,8646764.0,8506977.0,9684260.0,14131709.0,9473628.0,8670953.0,6321968.0,6787244.0,8284494.0,7941800.0,8045702.0,8617652.0,9186620.0,11677734.0,11077869.0,12276997.0,13464970.0,10642180.0,7677824.0,9750363.0,9147364.0,10121832.0,10695233.0,10509763.0,9909957.0,13531160.0,12504285.0,8718984.0,11047494.0,10676257.0,6330429.0,8307094.0,8463423.0,8040483.0,7766669.0,8436775.0,8424228.0,11399650.0,11888669.0,11237368.0,9465618.0,8130848.0,5996682.0,6736502.0,8200564.0,8088265.0,7818952.0,8956931.0,8743863.0,11137887.0,12075563.0,11596466.0,10341127.0,9126630.0,4970851.0,7470776.0
Viet Nam,-792482.0,519871.0,178707.0,-1226974.0,-1184224.0,-1145127.0,-2028651.0,-940842.0,-918147.0,-1227881.0,191458.0,-26399.0,-985647.0,771403.0,89308.0,-1743650.0,-865417.0,-1213300.0,-1897654.0,772266.0,-390934.0,-1105783.0,697640.0,914053.0,-408777.0,228771.0,-440799.0,-1779523.0,-2099629.0,-835878.0,-246896.0,-905329.0,84993.0,49408.0,473748.0,86789.0,-1515756.0,683263.0,-320768.0,-1371215.0,-2722564.0,-1979022.0,-1539578.0,616258.0,181471.0,-139593.0,189461.0,967458.0,61302.0,1060996.0,609104.0,-291211.0,66027.0,1135414.0,-145065.0,2323451.0,2152249.0,2747876.0
