Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,179186.0,246247.0,182167.0,147462.0,145400.0,84289.0,137858.0,84694.0,37359.0,66571.0,127643.0,135936.0,123582.0,141516.0,57361.0,90782.0,37373.0,-8269.0,97996.0,47182.0,111361.0,197688.0,211122.0,273014.0,299064.0,210485.0,188240.0,264289.0,157841.0,134147.0,106340.0,129342.0,64495.0,166293.0,149842.0,215161.0,279357.0,55346.0,7397.0,18002.0,28322.0,4566.0,2462.0,21173.0,1812.0,24537.0,-768.0,-17066.0,-19575.0,-15475.0,14526.0,14182.0,11543.0,13361.0,8264.0,2683.0,8994.0,8316.0
China,-1319139.0,-1632767.0,-1651147.0,-1544594.0,-1664840.0,-1743904.0,-1764698.0,-1771565.0,-1638382.0,-2021059.0,-1881031.0,-1647426.0,-1640003.0,-1599107.0,-1785579.0,-1714422.0,-1775366.0,-1565064.0,-1678746.0,-1948239.0,-1694202.0,-1858419.0,-1930972.0,-1922825.0,-1839423.0,-1771955.0,-1785899.0,-1314764.0,-1239823.0,-1058374.0,-1034000.0,-1160643.0,-812655.0,-720441.0,-1100739.0,-1205955.0,-1212403.0,-1134710.0,177441.0,754564.0,4006167.0,2409579.0,1048969.0,2076761.0,1732377.0,945757.0,333500.0,190004.0,32851.0,43837.0,157167.0,482747.0,2689301.0,2693462.0,1776466.0,773015.0,639520.0,846109.0
Germany,-159992.0,-134453.0,-144294.0,-179912.0,-165755.0,-160029.0,-174598.0,-132895.0,-150413.0,-217441.0,-227550.0,-202369.0,-205558.0,-236976.0,-223526.0,-212743.0,-218886.0,-257965.0,-229739.0,-221325.0,-241893.0,-253896.0,-258253.0,-272998.0,-247600.0,-283286.0,-267256.0,-301946.0,-285873.0,-238910.0,-223929.0,-208227.0,-187770.0,-192794.0,-215875.0,-225985.0,-167585.0,-199964.0,252018.0,68362.0,58220.0,141285.0,193501.0,73289.0,136674.0,56504.0,872.0,25184.0,129263.0,129195.0,126048.0,112479.0,173611.0,33175.0,66204.0,96164.0,54989.0,80658.0
"Korea, Republic of",-103012.0,-135623.0,-141209.0,-92560.0,-158100.0,-152072.0,-153505.0,-130416.0,-132698.0,-220575.0,-241276.0,-211874.0,-333393.0,-259424.0,-359983.0,-326086.0,-254019.0,-258969.0,-298764.0,-292967.0,-324211.0,-346636.0,-391781.0,-395588.0,-403329.0,-344139.0,-353473.0,-346308.0,-335518.0,-309183.0,-197323.0,-228247.0,-182334.0,-238370.0,-227189.0,-211216.0,-201283.0,-249647.0,25534.0,30775.0,62007.0,67736.0,88556.0,85315.0,102816.0,44965.0,34056.0,38625.0,31989.0,42003.0,28402.0,21930.0,53616.0,107158.0,59218.0,80322.0,59260.0,36782.0
Malaysia,47963.0,42954.0,36871.0,11304.0,24794.0,25332.0,24401.0,33173.0,15101.0,11400.0,6500.0,5806.0,4670.0,175.0,1503.0,11383.0,4215.0,631.0,-6026.0,7278.0,1116.0,5003.0,-97.0,8318.0,14486.0,15722.0,14686.0,19945.0,28911.0,30441.0,62132.0,51505.0,59328.0,51294.0,37703.0,73209.0,35464.0,44528.0,8580.0,5491.0,10672.0,28430.0,26532.0,21422.0,28364.0,12645.0,15947.0,9190.0,9662.0,21954.0,12790.0,19835.0,15833.0,38661.0,23457.0,22534.0,25407.0,35233.0
Viet Nam,-108441.0,-60375.0,-77501.0,-100965.0,-96799.0,-97310.0,-95670.0,-93827.0,-80393.0,-116397.0,-119874.0,-176774.0,-158934.0,-157148.0,-176723.0,-150938.0,-177411.0,-164623.0,-188714.0,-183039.0,-187383.0,-244043.0,-222654.0,-273247.0,-277821.0,-240227.0,-237211.0,-182829.0,-190302.0,-168350.0,-151702.0,-218351.0,-145924.0,-125399.0,-151638.0,-170451.0,-170803.0,-186052.0,24528.0,17434.0,14790.0,137507.0,40342.0,27628.0,53972.0,50316.0,44281.0,43122.0,43393.0,43437.0,22060.0,34362.0,159747.0,84461.0,71726.0,30965.0,36398.0,25111.0
