Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,-75956.0,-102773.0,-86340.0,-124874.0,-90888.0,-102034.0,-179454.0,-90729.0,-140800.0,-97835.0,-130179.0,-145159.0,-162407.0,-143447.0,-161367.0,-164906.0,-200819.0,-148821.0,-299031.0,-215637.0,-77859.0,-102340.0,-75459.0,-145705.0,-76535.0,-110523.0,-73533.0,-55525.0,-60400.0,-361943.0,-663314.0,-793381.0,-434598.0,-515021.0,-425790.0,-494965.0,-288827.0,-95101.0,-249904.0,-205753.0,-8391.0,-338872.0,-620906.0,-249325.0,-396947.0,-316108.0,-279559.0,-236545.0,-305697.0,-209045.0,-308664.0,-426551.0,-449113.0,-377629.0,-402336.0,-344988.0,-252192.0,-130705.0
Germany,5920.0,4205.0,617.0,2575.0,4406.0,6536.0,481.0,-5619.0,2536.0,505.0,829.0,7478.0,4421.0,6266.0,2282.0,1645.0,6434.0,9571.0,-1283.0,4266.0,4630.0,4731.0,2413.0,4498.0,7628.0,3772.0,3738.0,265.0,5122.0,2926.0,857.0,-232.0,2354.0,4630.0,9622.0,4704.0,4484.0,3425.0,1921.0,5750.0,5601.0,6741.0,9467.0,271.0,1267.0,10965.0,1284.0,5634.0,6972.0,1539.0,2165.0,5305.0,4040.0,6483.0,2963.0,8708.0,149.0,3757.0
"Korea, Republic of",19342.0,10558.0,20142.0,17283.0,31990.0,58291.0,40389.0,26067.0,13065.0,22904.0,19800.0,17837.0,13902.0,15259.0,14633.0,18387.0,37046.0,72465.0,47246.0,28461.0,14838.0,23206.0,19674.0,35655.0,30350.0,14565.0,21775.0,24201.0,36195.0,44825.0,49544.0,17671.0,20805.0,19420.0,21776.0,18757.0,18441.0,13194.0,14851.0,28805.0,37769.0,45595.0,31963.0,11506.0,7233.0,30352.0,23376.0,20334.0,21592.0,14794.0,13580.0,18584.0,29846.0,39521.0,18801.0,13238.0,546.0,6313.0
Malaysia,5531.0,6051.0,5364.0,6826.0,7096.0,10163.0,7863.0,7762.0,3340.0,7441.0,7938.0,6135.0,4270.0,6707.0,4785.0,5898.0,5495.0,7371.0,6955.0,7339.0,3113.0,7627.0,9760.0,5978.0,5597.0,4985.0,6880.0,5411.0,7082.0,6691.0,8457.0,5640.0,5953.0,9124.0,6329.0,5296.0,6339.0,5540.0,5204.0,4915.0,5209.0,8622.0,6405.0,6210.0,3264.0,7666.0,6091.0,6685.0,8839.0,4095.0,4063.0,6495.0,4069.0,7342.0,7111.0,5335.0,3980.0,6949.0
United States of America,-183816.0,-90252.0,-128736.0,-523819.0,-1400523.0,-2545922.0,-2580278.0,-3098727.0,-2598916.0,-3673220.0,-1203737.0,-211782.0,-82691.0,-92617.0,-70887.0,-167894.0,-534050.0,-2235575.0,-3705615.0,-3858465.0,-2294854.0,-2147589.0,-1121923.0,-1273156.0,-638927.0,-353866.0,-275637.0,-936797.0,-615949.0,-2347526.0,-4075545.0,-2902461.0,-3727401.0,-3059637.0,-1188745.0,-372726.0,-265881.0,-126006.0,-131156.0,-120280.0,-178810.0,-1372196.0,-2257745.0,-1955902.0,-969999.0,-1301152.0,-1474537.0,-773437.0,-783035.0,-308861.0,-139085.0,-1001606.0,-297064.0,-1452840.0,-2003780.0,-2309252.0,-1981315.0,-1157287.0
Viet Nam,3001.0,6390.0,5802.0,12313.0,17216.0,16674.0,27890.0,44666.0,4837.0,11500.0,7469.0,9610.0,6418.0,3175.0,3829.0,3211.0,13756.0,16097.0,17201.0,35598.0,7707.0,7382.0,13286.0,16613.0,6079.0,3320.0,7139.0,15412.0,17930.0,28244.0,25397.0,10321.0,11629.0,13274.0,6829.0,3954.0,5095.0,5723.0,10340.0,13360.0,18779.0,20615.0,34538.0,31804.0,11053.0,14704.0,2196.0,1754.0,-343.0,4681.0,2650.0,4858.0,19675.0,27770.0,32970.0,21520.0,8692.0,14778.0
