Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,-6619.0,-5984.0,1870.0,3599.0,10975.0,5385.0,5762.0,7350.0,16659.0,4331.0,1535.0,-8665.0,-12607.0,-5296.0,813.0,-4333.0,-2858.0,-10932.0,11022.0,-781.0,4131.0,16799.0,8867.0,-11903.0,-37768.0,-47313.0,-21016.0,-623.0,15094.0,13828.0,13206.0,2218.0,-8822.0,5701.0,14788.0,-16398.0,-14290.0,-29118.0,7397.0,18002.0,28322.0,4566.0,2462.0,21173.0,1812.0,24537.0,-768.0,-17066.0,-19575.0,-15475.0,14526.0,14182.0,11543.0,13361.0,8264.0,2683.0,8994.0,8316.0
China,174300.0,206671.0,936109.0,1863594.0,3608625.0,3407314.0,3030051.0,2574572.0,743803.0,329579.0,103197.0,88772.0,75821.0,83228.0,311977.0,558839.0,4003557.0,3746493.0,2230615.0,2022576.0,1044469.0,897178.0,910318.0,390630.0,206724.0,407283.0,873597.0,447290.0,4345148.0,4020983.0,3095097.0,3494355.0,1971185.0,883347.0,774092.0,54023.0,61037.0,44352.0,177441.0,754564.0,4006167.0,2409579.0,1048969.0,2076761.0,1732377.0,945757.0,333500.0,190004.0,32851.0,43837.0,157167.0,482747.0,2689301.0,2693462.0,1776466.0,773015.0,639520.0,846109.0
Germany,-2355.0,-1908.0,-526.0,3759.0,-670.0,7581.0,-1251.0,735.0,36944.0,-4052.0,-3722.0,2555.0,-933.0,-3981.0,81930.0,48772.0,263179.0,142245.0,179541.0,112790.0,4225.0,33142.0,55826.0,93821.0,192965.0,212282.0,234498.0,97158.0,125165.0,203730.0,97958.0,216457.0,159522.0,161284.0,220183.0,71537.0,-962.0,161081.0,252018.0,68362.0,58220.0,141285.0,193501.0,73289.0,136674.0,56504.0,872.0,25184.0,129263.0,129195.0,126048.0,112479.0,173611.0,33175.0,66204.0,96164.0,54989.0,80658.0
"Korea, Republic of",52289.0,22504.0,22943.0,43872.0,157362.0,54610.0,81510.0,86083.0,87218.0,39842.0,51516.0,48782.0,28584.0,22037.0,26581.0,24367.0,60729.0,58619.0,97476.0,92990.0,69264.0,40138.0,64916.0,73941.0,24135.0,27147.0,72455.0,61351.0,59627.0,95803.0,147332.0,60502.0,119655.0,42903.0,46525.0,45222.0,28531.0,30821.0,25534.0,30775.0,62007.0,67736.0,88556.0,85315.0,102816.0,44965.0,34056.0,38625.0,31989.0,42003.0,28402.0,21930.0,53616.0,107158.0,59218.0,80322.0,59260.0,36782.0
Malaysia,18613.0,11643.0,13178.0,18336.0,20609.0,21356.0,24927.0,19330.0,39674.0,39784.0,27807.0,22119.0,10574.0,10043.0,13066.0,8563.0,26192.0,28587.0,26178.0,18169.0,25882.0,39328.0,20983.0,28409.0,18928.0,21746.0,13002.0,7539.0,24364.0,30451.0,29177.0,25367.0,30805.0,19310.0,6981.0,3343.0,2968.0,5192.0,8580.0,5491.0,10672.0,28430.0,26532.0,21422.0,28364.0,12645.0,15947.0,9190.0,9662.0,21954.0,12790.0,19835.0,15833.0,38661.0,23457.0,22534.0,25407.0,35233.0
Viet Nam,16052.0,12519.0,11791.0,71607.0,20286.0,89273.0,72069.0,113708.0,128296.0,32653.0,14384.0,17051.0,19260.0,82926.0,13830.0,9729.0,21242.0,66689.0,25167.0,42773.0,46223.0,57676.0,56542.0,14427.0,12254.0,16838.0,28238.0,40423.0,20497.0,109150.0,104611.0,100581.0,43816.0,54809.0,12744.0,35784.0,28946.0,9457.0,24528.0,17434.0,14790.0,137507.0,40342.0,27628.0,53972.0,50316.0,44281.0,43122.0,43393.0,43437.0,22060.0,34362.0,159747.0,84461.0,71726.0,30965.0,36398.0,25111.0
