"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","19,529.95","19,063.06","19,610.51","18,987.03","6.38B","2.18%"
"05/01/2025","19,113.77","17,793.14","19,389.39","17,503.01","30.15B","9.56%"
"04/01/2025","17,446.34","17,221.55","17,716.52","14,784.03","39.46B","0.85%"
"03/01/2025","17,299.29","18,923.36","18,992.30","16,854.37","30.70B","-8.21%"
"02/01/2025","18,847.28","19,215.38","20,110.12","18,372.99","26.42B","-3.97%"
"01/01/2025","19,627.44","19,403.90","20,118.61","18,831.91","27.48B","1.64%"
"12/01/2024","19,310.79","19,255.43","20,204.58","19,168.38","29.49B","0.48%"
"11/01/2024","19,218.17","18,189.67","19,366.07","18,112.83","25.04B","6.21%"
"10/01/2024","18,095.15","18,154.94","18,785.49","17,767.79","23.32B","-0.52%"
"09/01/2024","18,189.17","17,585.45","18,327.34","16,668.57","23.21B","2.68%"
"08/01/2024","17,713.62","17,647.03","18,017.69","15,708.54","26.77B","0.65%"
"07/01/2024","17,599.40","17,773.90","18,671.07","17,015.38","23.24B","-0.75%"
"06/01/2024","17,732.60","16,865.70","18,035.00","16,646.43","24.96B","5.96%"
"05/01/2024","16,735.01","15,646.09","17,032.65","15,557.64","25.03B","6.88%"
"04/01/2024","15,657.82","16,397.05","16,490.65","15,222.78","21.21B","-4.41%"
"03/01/2024","16,379.46","16,109.83","16,538.86","15,862.63","23.15B","1.79%"
"02/01/2024","16,091.92","15,254.02","16,134.22","15,208.88","21.72B","6.12%"
"01/01/2024","15,164.01","14,873.70","15,630.58","14,477.57","21.22B","1.02%"
"12/01/2023","15,011.35","14,181.35","15,150.07","14,058.52","23.68B","5.52%"
"11/01/2023","14,226.22","12,887.06","14,423.22","12,875.20","19.77B","10.70%"
"10/01/2023","12,851.24","13,217.99","13,714.14","12,543.86","19.19B","-2.78%"
"09/01/2023","13,219.32","14,129.96","14,149.62","12,963.16","19.74B","-5.81%"
"08/01/2023","14,034.97","14,274.93","14,309.21","13,161.76","21.07B","-2.17%"
"07/01/2023","14,346.02","13,798.70","14,446.55","13,567.25","19.25B","4.05%"
"06/01/2023","13,787.92","12,944.46","13,864.06","12,903.63","25.04B","6.59%"
"05/01/2023","12,935.28","12,210.05","13,154.29","11,925.37","21.61B","5.80%"
"04/01/2023","12,226.58","12,146.09","12,245.43","11,798.77","17.28B","0.04%"
"03/01/2023","12,221.91","11,447.58","12,227.93","10,982.80","25.37B","6.69%"
"02/01/2023","11,455.54","11,573.14","12,269.56","11,334.47","19.32B","-1.11%"
"01/01/2023","11,584.55","10,562.06","11,691.89","10,265.04","19.91B","10.68%"
"12/01/2022","10,466.48","11,475.17","11,571.64","10,207.47","21.69B","-8.73%"
"11/01/2022","11,468.00","11,154.74","11,492.62","10,262.93","20.08B","4.37%"
"10/01/2022","10,988.15","10,659.01","11,230.44","10,088.83","19.93B","3.90%"
"09/01/2022","10,575.62","11,707.44","12,270.19","10,572.33","22.03B","-10.50%"
"08/01/2022","11,816.20","12,317.96","13,181.09","11,790.02","21.71B","-4.64%"
"07/01/2022","12,390.69","11,006.83","12,426.26","10,911.45","18.16B","12.35%"
"06/01/2022","11,028.74","12,176.89","12,320.12","10,565.14","26.74B","-8.71%"
"05/01/2022","12,081.39","12,331.69","12,985.01","11,035.69","23.28B","-2.05%"
"04/01/2022","12,334.64","14,269.53","14,534.38","12,315.74","19.02B","-13.26%"
"03/01/2022","14,220.52","13,716.70","14,646.90","12,555.35","26.96B","3.41%"
"02/01/2022","13,751.40","14,277.43","14,509.56","12,587.88","18.89B","-3.43%"
"01/01/2022","14,239.88","15,732.50","15,852.14","13,094.65","20.65B","-8.98%"
"12/01/2021","15,644.97","15,752.27","15,901.47","14,860.04","22.79B","0.69%"
"11/01/2021","15,537.69","15,541.26","16,212.23","15,451.39","21.65B","0.25%"
"10/01/2021","15,498.39","14,494.93","15,504.12","14,181.69","18.71B","7.27%"
"09/01/2021","14,448.58","15,308.98","15,403.44","14,444.30","20.39B","-5.31%"
"08/01/2021","15,259.24","14,758.60","15,288.08","14,423.16","17.68B","4.00%"
"07/01/2021","14,672.68","14,493.69","14,863.65","14,178.66","17.46B","1.16%"
"06/01/2021","14,503.95","13,829.06","14,535.97","13,548.93","24.05B","5.49%"
"05/01/2021","13,748.74","14,031.77","14,042.12","13,002.53","18.49B","-1.53%"
"04/01/2021","13,962.68","13,414.33","14,211.57","13,404.18","18.51B","5.40%"
"03/01/2021","13,246.87","13,406.16","13,620.71","12,397.05","29.12B","0.41%"
"02/01/2021","13,192.35","13,226.18","14,175.11","13,003.98","27.40B","0.93%"
"01/01/2021","13,070.69","12,958.52","13,728.98","12,543.24","26.55B","1.42%"
"12/01/2020","12,888.28","12,313.36","12,973.33","12,214.74","23.50B","5.65%"
"11/01/2020","12,198.74","11,010.45","12,244.65","10,830.94","19.47B","11.80%"
"10/01/2020","10,911.59","11,291.99","11,965.54","10,822.57","16.77B","-2.29%"
"09/01/2020","11,167.68","11,850.96","12,074.07","10,519.49","20.52B","-5.16%"
"08/01/2020","11,775.46","10,848.64","11,829.84","10,762.71","17.24B","9.59%"
"07/01/2020","10,745.27","10,063.67","10,839.93","10,048.04","20.68B","6.82%"
"06/01/2020","10,058.76","9,471.42","10,221.85","9,403.00","27.30B","5.99%"
"05/01/2020","9,489.87","8,681.29","9,523.64","8,537.83","18.17B","6.75%"
"04/01/2020","8,889.55","7,459.50","8,957.26","7,288.11","18.76B","15.45%"
"03/01/2020","7,700.10","8,667.14","9,070.32","6,631.42","25.11B","-10.12%"
"02/01/2020","8,567.37","9,190.72","9,838.37","8,264.16","13.39B","-6.38%"
