Partners,Balance in value in 2020-M06,Balance in value in 2020-M07,Balance in value in 2020-M08,Balance in value in 2020-M09,Balance in value in 2020-M10,Balance in value in 2020-M11,Balance in value in 2020-M12,Balance in value in 2021-M01,Balance in value in 2021-M02,Balance in value in 2021-M03,Balance in value in 2021-M04,Balance in value in 2021-M05,Balance in value in 2021-M06,Balance in value in 2021-M07,Balance in value in 2021-M08,Balance in value in 2021-M09,Balance in value in 2021-M10,Balance in value in 2021-M11,Balance in value in 2021-M12,Balance in value in 2022-M01,Balance in value in 2022-M02,Balance in value in 2022-M03,Balance in value in 2022-M04,Balance in value in 2022-M05,Balance in value in 2022-M06,Balance in value in 2022-M07,Balance in value in 2022-M08,Balance in value in 2022-M09,Balance in value in 2022-M10,Balance in value in 2022-M11,Balance in value in 2022-M12,Balance in value in 2023-M01,Balance in value in 2023-M02,Balance in value in 2023-M03,Balance in value in 2023-M04,Balance in value in 2023-M05,Balance in value in 2023-M06,Balance in value in 2023-M07,Balance in value in 2023-M08,Balance in value in 2023-M09,Balance in value in 2023-M10,Balance in value in 2023-M11,Balance in value in 2023-M12,Balance in value in 2024-M01,Balance in value in 2024-M02,Balance in value in 2024-M03,Balance in value in 2024-M04,Balance in value in 2024-M05,Balance in value in 2024-M06,Balance in value in 2024-M07,Balance in value in 2024-M08,Balance in value in 2024-M09,Balance in value in 2024-M10,Balance in value in 2024-M11,Balance in value in 2024-M12,Balance in value in 2025-M01,Balance in value in 2025-M02,Balance in value in 2025-M03
Canada,428283.0,480381.0,475316.0,466419.0,469943.0,573106.0,535682.0,526266.0,476228.0,567354.0,476521.0,496741.0,583012.0,593073.0,573010.0,714204.0,580149.0,669527.0,626388.0,643402.0,498963.0,740041.0,637420.0,798032.0,807400.0,663129.0,810173.0,642097.0,515885.0,559732.0,760809.0,549383.0,505631.0,891173.0,556551.0,733457.0,498256.0,447866.0,498046.0,485418.0,384997.0,442014.0,484635.0,509656.0,396087.0,514120.0,526079.0,526172.0,599345.0,538347.0,511855.0,488106.0,533720.0,491674.0,505222.0,623147.0,452225.0,634915.0
Germany,-271444.0,-214403.0,-262691.0,-653065.0,-195998.0,-221754.0,-36078.0,-249988.0,82715.0,-289161.0,-66407.0,-471665.0,21409.0,-66216.0,-141163.0,53733.0,396870.0,202974.0,750396.0,417656.0,238227.0,544920.0,61827.0,-13816.0,-36133.0,228701.0,54777.0,-149677.0,53057.0,-4661.0,-195219.0,-55708.0,-387146.0,-244802.0,-167530.0,-557299.0,-416420.0,-541862.0,-556045.0,-370547.0,-282361.0,-196861.0,-41155.0,-46385.0,-30228.0,-82127.0,-112640.0,-169378.0,166378.0,-181987.0,-82808.0,-20406.0,77143.0,60460.0,263468.0,451328.0,-204812.0,470681.0
"Korea, Republic of",-497907.0,-481824.0,-567742.0,-1120399.0,-306419.0,-741362.0,-403053.0,-365602.0,-210043.0,-704462.0,-782224.0,-323401.0,-419349.0,-359037.0,-598070.0,-975252.0,-448172.0,-853819.0,-558828.0,-77093.0,-376553.0,-744215.0,-476917.0,-241064.0,92548.0,-186225.0,-81045.0,-514429.0,88187.0,-177847.0,-93715.0,244887.0,82591.0,-10917.0,187426.0,-16024.0,-166563.0,-371808.0,4335.0,-235749.0,-131262.0,-230206.0,-42385.0,118673.0,-40383.0,-44032.0,82190.0,91957.0,-178466.0,-243666.0,158612.0,-301739.0,254314.0,-7238.0,101261.0,340447.0,42684.0,381055.0
Malaysia,151362.0,179537.0,171366.0,117588.0,151129.0,143043.0,305200.0,207206.0,175689.0,195549.0,267824.0,225827.0,177060.0,247454.0,286665.0,253961.0,284515.0,334028.0,579764.0,315560.0,4253.0,198882.0,25819.0,-5926.0,243384.0,257171.0,323243.0,412114.0,524705.0,283517.0,355002.0,550379.0,154570.0,510438.0,471769.0,395976.0,476358.0,350561.0,267550.0,154940.0,-24409.0,129146.0,314635.0,439292.0,171860.0,535891.0,513231.0,504754.0,547064.0,763060.0,509055.0,795436.0,614487.0,284962.0,48203.0,346081.0,-34850.0,171548.0
United States of America,6954059.0,7203256.0,7672628.0,7233427.0,7449894.0,8619019.0,8746080.0,7576723.0,6017309.0,7133874.0,7477489.0,7570368.0,7775186.0,8134612.0,7542403.0,8299038.0,8729498.0,8751446.0,9549851.0,7267811.0,6450082.0,8765470.0,6992787.0,7024000.0,8978593.0,9074639.0,7796884.0,7318146.0,7187322.0,6108907.0,7024024.0,5635055.0,4220839.0,6942947.0,6455550.0,6887793.0,6473061.0,5508942.0,5774500.0,5563363.0,5132864.0,5325174.0,4989006.0,5095781.0,4639998.0,5950439.0,6027764.0,6742656.0,6447393.0,6094811.0,6194456.0,6198984.0,6115969.0,6594310.0,6270711.0,7095265.0,4304721.0,5757455.0
Viet Nam,932424.0,878914.0,792743.0,721618.0,835630.0,846641.0,1118206.0,960498.0,640050.0,1129983.0,1207188.0,1022235.0,1000990.0,845732.0,641746.0,503107.0,506674.0,757822.0,836447.0,891139.0,434949.0,524061.0,725031.0,1032252.0,828191.0,807769.0,621647.0,514489.0,605289.0,750821.0,511616.0,482859.0,557182.0,758567.0,666003.0,661122.0,483455.0,493522.0,592846.0,469551.0,313312.0,621172.0,673378.0,667156.0,27897.0,410701.0,620565.0,445967.0,121151.0,375221.0,384462.0,-154734.0,267870.0,407317.0,669963.0,632994.0,-524519.0,400552.0
